序号,汉字,声调,拼音,2075北京话音系,UntPhesoca宽,UntPhesoca严,Standard Chinese (Beijing),Standard Chinese (Beijing)严,胡裕树《现代汉语》,黄伯荣、廖序东《现代汉语》,钱乃荣《现代汉语》,吴宗济,赵元任《汉语口语语法》,《汉语方音字汇》
1,吖,1,a,ɜ˥·,a˥·,ä˥·,a˥·,a̠˥·,ᴀ˥·,ᴀ˥·,ᴀ˥·,ᴀ˥·,ᴀ˥·,ᴀ˥·
2,阿,1,a,ɜ˥·,a˥·,ä˥·,a˥·,a̠˥·,ᴀ˥·,ᴀ˥·,ᴀ˥·,ᴀ˥·,ᴀ˥·,ᴀ˥·
3,阿,1,e,ɯ̽˥·,ɤ˥·,ɤʌ̟̑˥·,ɤ˥·,ɤʌ̯˥·,ɤ˥·,ɤ˥·,ɤ˥·,ɤᶺ˥·,ɤ˥·,ɤᶺ˥·
4,啊,1,a,ɜ˥·,a˥·,ä˥·,a˥·,a̠˥·,ᴀ˥·,ᴀ˥·,ᴀ˥·,ᴀ˥·,ᴀ˥·,ᴀ˥·
5,锕,1,a,ɜ˥·,a˥·,ä˥·,a˥·,a̠˥·,ᴀ˥·,ᴀ˥·,ᴀ˥·,ᴀ˥·,ᴀ˥·,ᴀ˥·
6,錒,1,a,ɜ˥·,a˥·,ä˥·,a˥·,a̠˥·,ᴀ˥·,ᴀ˥·,ᴀ˥·,ᴀ˥·,ᴀ˥·,ᴀ˥·
7,嗄,2,a,ɜ˧˦·,a˧˥·,ä˧˥·,a˧˥·,a̠˧˥·,ᴀ˧˥·,ᴀ˧˥·,ᴀ˧˥·,ᴀ˧˥·,ᴀ˧˥·,ᴀ˧˥·
8,哎,1,ai,ɜɛ̯˥·,aɪ˥·,a̠ɪ̯˥·,ai˥·,aɪ˥·,ai˥·,ai˥·,aⁱ˥·,ae˥·,ai˥·,æɪ˥·
9,哀,1,ai,ɜɛ̯˥·,aɪ˥·,a̠ɪ̯˥·,ai˥·,aɪ˥·,ai˥·,ai˥·,aⁱ˥·,ae˥·,ai˥·,æɪ˥·
10,唉,1,ai,ɜɛ̯˥·,aɪ˥·,a̠ɪ̯˥·,ai˥·,aɪ˥·,ai˥·,ai˥·,aⁱ˥·,ae˥·,ai˥·,æɪ˥·
11,唉,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
12,埃,1,ai,ɜɛ̯˥·,aɪ˥·,a̠ɪ̯˥·,ai˥·,aɪ˥·,ai˥·,ai˥·,aⁱ˥·,ae˥·,ai˥·,æɪ˥·
13,挨,1,ai,ɜɛ̯˥·,aɪ˥·,a̠ɪ̯˥·,ai˥·,aɪ˥·,ai˥·,ai˥·,aⁱ˥·,ae˥·,ai˥·,æɪ˥·
14,挨,2,ai,ɜɛ̯˧˦·,aɪ˧˥·,a̠ɪ̯˧˥·,ai˧˥·,aɪ˧˥·,ai˧˥·,ai˧˥·,aⁱ˧˥·,ae˧˥·,ai˧˥·,æɪ˧˥·
15,溾,1,ai,ɜɛ̯˥·,aɪ˥·,a̠ɪ̯˥·,ai˥·,aɪ˥·,ai˥·,ai˥·,aⁱ˥·,ae˥·,ai˥·,æɪ˥·
16,锿,1,ai,ɜɛ̯˥·,aɪ˥·,a̠ɪ̯˥·,ai˥·,aɪ˥·,ai˥·,ai˥·,aⁱ˥·,ae˥·,ai˥·,æɪ˥·
17,鎄,1,ai,ɜɛ̯˥·,aɪ˥·,a̠ɪ̯˥·,ai˥·,aɪ˥·,ai˥·,ai˥·,aⁱ˥·,ae˥·,ai˥·,æɪ˥·
18,啀,2,ai,ɜɛ̯˧˦·,aɪ˧˥·,a̠ɪ̯˧˥·,ai˧˥·,aɪ˧˥·,ai˧˥·,ai˧˥·,aⁱ˧˥·,ae˧˥·,ai˧˥·,æɪ˧˥·
19,捱,2,ai,ɜɛ̯˧˦·,aɪ˧˥·,a̠ɪ̯˧˥·,ai˧˥·,aɪ˧˥·,ai˧˥·,ai˧˥·,aⁱ˧˥·,ae˧˥·,ai˧˥·,æɪ˧˥·
20,皑,2,ai,ɜɛ̯˧˦·,aɪ˧˥·,a̠ɪ̯˧˥·,ai˧˥·,aɪ˧˥·,ai˧˥·,ai˧˥·,aⁱ˧˥·,ae˧˥·,ai˧˥·,æɪ˧˥·
21,凒,2,ai,ɜɛ̯˧˦·,aɪ˧˥·,a̠ɪ̯˧˥·,ai˧˥·,aɪ˧˥·,ai˧˥·,ai˧˥·,aⁱ˧˥·,ae˧˥·,ai˧˥·,æɪ˧˥·
22,嵦,2,ai,ɜɛ̯˧˦·,aɪ˧˥·,a̠ɪ̯˧˥·,ai˧˥·,aɪ˧˥·,ai˧˥·,ai˧˥·,aⁱ˧˥·,ae˧˥·,ai˧˥·,æɪ˧˥·
23,溰,2,ai,ɜɛ̯˧˦·,aɪ˧˥·,a̠ɪ̯˧˥·,ai˧˥·,aɪ˧˥·,ai˧˥·,ai˧˥·,aⁱ˧˥·,ae˧˥·,ai˧˥·,æɪ˧˥·
24,嘊,2,ai,ɜɛ̯˧˦·,aɪ˧˥·,a̠ɪ̯˧˥·,ai˧˥·,aɪ˧˥·,ai˧˥·,ai˧˥·,aⁱ˧˥·,ae˧˥·,ai˧˥·,æɪ˧˥·
25,敱,2,ai,ɜɛ̯˧˦·,aɪ˧˥·,a̠ɪ̯˧˥·,ai˧˥·,aɪ˧˥·,ai˧˥·,ai˧˥·,aⁱ˧˥·,ae˧˥·,ai˧˥·,æɪ˧˥·
26,敳,2,ai,ɜɛ̯˧˦·,aɪ˧˥·,a̠ɪ̯˧˥·,ai˧˥·,aɪ˧˥·,ai˧˥·,ai˧˥·,aⁱ˧˥·,ae˧˥·,ai˧˥·,æɪ˧˥·
27,皚,2,ai,ɜɛ̯˧˦·,aɪ˧˥·,a̠ɪ̯˧˥·,ai˧˥·,aɪ˧˥·,ai˧˥·,ai˧˥·,aⁱ˧˥·,ae˧˥·,ai˧˥·,æɪ˧˥·
28,癌,2,ai,ɜɛ̯˧˦·,aɪ˧˥·,a̠ɪ̯˧˥·,ai˧˥·,aɪ˧˥·,ai˧˥·,ai˧˥·,aⁱ˧˥·,ae˧˥·,ai˧˥·,æɪ˧˥·
29,娾,2,ai,ɜɛ̯˧˦·,aɪ˧˥·,a̠ɪ̯˧˥·,ai˧˥·,aɪ˧˥·,ai˧˥·,ai˧˥·,aⁱ˧˥·,ae˧˥·,ai˧˥·,æɪ˧˥·
30,隑,2,ai,ɜɛ̯˧˦·,aɪ˧˥·,a̠ɪ̯˧˥·,ai˧˥·,aɪ˧˥·,ai˧˥·,ai˧˥·,aⁱ˧˥·,ae˧˥·,ai˧˥·,æɪ˧˥·
31,剴,2,ai,ɜɛ̯˧˦·,aɪ˧˥·,a̠ɪ̯˧˥·,ai˧˥·,aɪ˧˥·,ai˧˥·,ai˧˥·,aⁱ˧˥·,ae˧˥·,ai˧˥·,æɪ˧˥·
32,騃,2,ai,ɜɛ̯˧˦·,aɪ˧˥·,a̠ɪ̯˧˥·,ai˧˥·,aɪ˧˥·,ai˧˥·,ai˧˥·,aⁱ˧˥·,ae˧˥·,ai˧˥·,æɪ˧˥·
33,毐,3,ai,ɜɛ̯˨˩̰·,aɪ˨˩˦·,a̠ɪ̯˨˩˦·,ai˨˩˧·,aɪ˨˩˧·,ai˨˩˦·,ai˨˩˦·,aⁱ˨˩˦·,ae˨˩˦·,ai˨˩˦·,æɪ˨˩˦·
34,昹,3,ai,ɜɛ̯˨˩̰·,aɪ˨˩˦·,a̠ɪ̯˨˩˦·,ai˨˩˧·,aɪ˨˩˧·,ai˨˩˦·,ai˨˩˦·,aⁱ˨˩˦·,ae˨˩˦·,ai˨˩˦·,æɪ˨˩˦·
35,矮,3,ai,ɜɛ̯˨˩̰·,aɪ˨˩˦·,a̠ɪ̯˨˩˦·,ai˨˩˧·,aɪ˨˩˧·,ai˨˩˦·,ai˨˩˦·,aⁱ˨˩˦·,ae˨˩˦·,ai˨˩˦·,æɪ˨˩˦·
36,蔼,3,ai,ɜɛ̯˨˩̰·,aɪ˨˩˦·,a̠ɪ̯˨˩˦·,ai˨˩˧·,aɪ˨˩˧·,ai˨˩˦·,ai˨˩˦·,aⁱ˨˩˦·,ae˨˩˦·,ai˨˩˦·,æɪ˨˩˦·
37,躷,3,ai,ɜɛ̯˨˩̰·,aɪ˨˩˦·,a̠ɪ̯˨˩˦·,ai˨˩˧·,aɪ˨˩˧·,ai˨˩˦·,ai˨˩˦·,aⁱ˨˩˦·,ae˨˩˦·,ai˨˩˦·,æɪ˨˩˦·
38,濭,3,ai,ɜɛ̯˨˩̰·,aɪ˨˩˦·,a̠ɪ̯˨˩˦·,ai˨˩˧·,aɪ˨˩˧·,ai˨˩˦·,ai˨˩˦·,aⁱ˨˩˦·,ae˨˩˦·,ai˨˩˦·,æɪ˨˩˦·
